"distrito_id","distrito_nombre","region","nodo","categoria","departamento_id","departamento_nombre","domicilio_municipalidad","cod_postal","tel_cod_area","telefono_1","telefono_","email","web"
"1110","Arocena",3,"Santa Fe","Comuna","11","San Jerónimo","Bv. Ledesma 646 ","S2242ACT","3471","450022",,"comunarocena@yahoo.com.ar",
"1008","Arroyo Aguiar",3,"Santa Fe","Comuna","10","La Capital","Av. San Martín 196 ","S3031AAO","342","4901001",4901032,"comunaarroyoaguiar@hotmail.com",
"0314","Arroyo Ceibal",1,"Reconquista","Comuna","03","General Obligado","Zona urbana S/N",3575,"3482","497087",,"comunaaceibal@ltnet.com.ar",
"1015","Arroyo Leyes",3,"Santa Fe","Comuna","10","La Capital","Ruta Provincial Nº 1 Km. 12,5 ","S3001XAP","342","4972083",4970054,"comunadearroyoleyes@yahoo.com.ar",
"1618","Arroyo Seco",4,"Rosario","Municipalidad","16","Rosario","Belgrano 502 ","S2128CDL","3402","426302",,"coordinacion@arroyoseco.gov.ar","www.arroyoseco.gov.ar"
"0711","Arrufó",2,"Rafaela","Comuna","07","San Cristóbal","15 de Noviembre 649 ","S2344ADM","3491","493374",493554,"comunaarrufo@cooparrufo.com.ar",
"1801","Arteaga",4,"Rosario","Comuna","18","Caseros","Santa Fe 272 ",2187,"3467","450191",450922,"info@arteaga.gob.ar",
"0812","Ataliva",2,"Rafaela","Comuna","08","Castellanos","Lavalle 34 ","S2307AWB","3491","496022",,"comunadeataliva@interclass.com.ar",
"0826","Aurelia",2,"Rafaela","Comuna","08","Castellanos","Guillermo Lehmann S/N ",2318,"3492","488020",488031,"comunadeaurelia@arnet.com.ar",
"0319","Avellaneda",1,"Reconquista","Municipalidad","03","General Obligado","Calle 13 Nº 492 ",3561,"3491","494108",,"sprivada@avellaneda.gov.ar","www.avellaneda.gov.ar"
"1115","Barrancas",3,"Santa Fe","Comuna","11","San Jerónimo","L.N. Alem 726 ","S2246BAL","3466","420482",420227,"comunabarrancas@yahoo.com.ar",
"0832","Bauer y Sigel",2,"Rafaela","Comuna","08","Castellanos","Belgrano S/N ","S2403XAA","3491","420220",,"comunabauerysigel@arnet.com.ar",
"0825","Bella Italia",2,"Rafaela","Comuna","08","Castellanos","Santa Fe 31 ",2301,"3492","497009",497077,"comunadebellaitalia@arnet.com.ar",
"1811","Berabevú",5,"Venado Tuerto","Comuna","18","Caseros","San Martín 157 ","S2639BHE","3465","494225",,"info@berabevu.gov.ar","www.berabevu.gov.ar"
"0322","Berna",1,"Reconquista","Comuna","03","General Obligado","San Martín S/N - Mza. Nº 28 ",3569,"3482","473069",,"comunadeberna@csdnet.com.ar",
"1113","Bernardo de Irigoyen",3,"Santa Fe","Comuna","11","San Jerónimo","Av. Sarmiento 593 ",2248,"3476","438900",,"combiri@cosmol.com.ar",
"0807","Bicha (Colonia)",2,"Rafaela","Comuna","08","Castellanos","Salta S/N ","S2317XAC","3406","440127",,"comunabicha@cooptacural.com.ar",
"1807","Bigand",4,"Rosario","Comuna","18","Caseros","Sarmiento 409 ","S2177BGG","3464","461607",461015,"comunadebigand@gmail.com",
"0816","Bigand (Colonia)",2,"Rafaela","Comuna","08","Castellanos","Zona Rural ","S2317XAD","3406","480090",,"comuna.bigand@interclass.com.ar",
"1901","Bombal",5,"Venado Tuerto","Comuna","19","Constitución","Islas Malvinas 399 ",2179,"3465","497028",,"comunabombal@gmail.com",
"1301","Bouquet",4,"Rosario","Comuna","13","Belgrano","Belgrano 480 ","S2523ACJ","3471","469299",496380,"comunadebouquet@gmail.com",
"1409","Bustinza",4,"Rosario","Comuna","14","Iriondo","Av. Camino de la Posta 393 ",2501,"3471","497031",97144,"comunabustinza@steelcdg.com.ar",
"1002","Cabal",3,"Santa Fe","Comuna","10","La Capital","Calle Pública S/N ","S3091AIA","3400","474435",,"comunacabal@yahoo.com.ar",
"0405","Cacique Ariacaiquín",3,"Santa Fe","Comuna","04","San Javier","Zona urbana S/N",3041,"341","5185712",,"comuna_cacique@hotmail.com",
"1701","Cafferata",5,"Venado Tuerto","Comuna","17","General López","San Martín 697 ",2643,"3468","498038",498301,"comuncaf@cooptelcaf.com.ar",
"0205","Calchaquí",1,"Reconquista","Municipalidad","02","Vera","Roque Sáenz Peña 1115 ","S3050BAI","3483","470960",470750,"municipiocalchaqui@hotmail.com",
"1004","Campo Andino",3,"Santa Fe","Comuna","10","La Capital","Av. Julio B. Oroño 417 ","S3021ACI","3382","498010",,"comunadecampoandino@gmail.com",
"0109","Campo Garay (Juan de Garay)",2,"Rafaela","Comuna","01","Nueve de Julio","Zona urbana S/N","S3066XAB","3493","425500",,"juandegaray@myc-santafe.gov.ar",
"1107","Campo Piaggio",3,"Santa Fe","Comuna","11","San Jerónimo","Zona urbana S/N","S2252XAA","3468","498038",,"comunadepiaggio@cablenettv.com.ar",
"1007","Candioti",3,"Santa Fe","Comuna","10","La Capital","Belgrano 1055 ","S2469AFK","3462","493017",,"comuna_candioti@arnet.com.ar",
"1410","Cañada de Gómez",4,"Rosario","Municipalidad","14","Iriondo","Ocampo 920 ",2500,"3471","422008",422138,"intendencia@mcg.gov.ar","www.mcg.gov.ar"
"1705","Cañada del Ucle",5,"Venado Tuerto","Comuna","17","General López","Rivadavia 769 ","S2635AJO","3465","492240",,"comunadelucle@coopucle.com.ar",
"0208","Cañada Ombú",1,"Reconquista","Comuna","02","Vera","Zona urbana S/N","S3551XAL","3482","490720",,,
"1911","Cañada Rica",4,"Rosario","Comuna","19","Constitución","Ricardo Güiraldes 96 ",2105,"3460","499151",499155,"cdarica@ri.com.ar",
"1206","Cañada Rosquín",4,"Rosario","Comuna","12","San Martín","Simón de Iriondo 786 ",2454,"3401","470143",470188,"ccrosquin@velosat.com.ar",
"1505","Capitán Bermúdez",4,"Rosario","Municipalidad","15","San Lorenzo","Presidente Perón 186 ","S2154BID","341","4788888",,"mcb@netcoop.com.ar","www.capitanbermudez.gov.ar"
"0718","Capivara",2,"Rafaela","Comuna","07","San Cristóbal","Zona urbana S/N","S2311XAF","3491","472817",,"capivara@myc-santafe.gov.ar",
"1509","Carcarañá",4,"Rosario","Municipalidad","15","San Lorenzo","Av. Belgrano 1315 ","S2138AFL","341","4943050",4943057,"intendencia@carcarania.gov.ar","www.carcarania.gov.ar"
"1211","Carlos Pellegrini",4,"Rosario","Comuna","12","San Martín","San Martín 901 ","S2453ATM","3401","480065",480321,"carlospellegrini@santafe.gov.ar",
"1711","Carmen",5,"Venado Tuerto","Comuna","17","General López","San Martín 512 ",2618,"3462","493017",493030,"carmen@enredes.com.ar",
"1614","Carmen del Sauce",4,"Rosario","Comuna","16","Rosario","Urquiza 310 ",2109,"3469","420073",,"comunacarmendelsauce@ri.com.ar",
"1708","Carreras",5,"Venado Tuerto","Comuna","17","General López","Garibaldi 721 ","S2729AJK","3465","490106",490388,"carreras@municipiocarreras.gov.ar",
"1403","Carrizales",4,"Rosario","Comuna","14","Iriondo","Mitre 608 ","S2218XAA","3476","497011",497240,"infocomunacarrizales@gmail.com",
"1114","Casalegno",3,"Santa Fe","Comuna","11","San Jerónimo","Mitre S / N ","S2248XAA","3465","490106",,"comcasa@cosmol.com.ar",
"1212","Casas",4,"Rosario","Comuna","12","San Martín","Gral. López 360 ",2148,"3401","494109",,"comunacasas@arnet.com.ar",
"1805","Casilda",4,"Rosario","Municipalidad","18","Caseros","Casado 2090 ","S2170BYV","3464","422211",422212,"despacho@casilda.gov.ar","www.casilda.gov.ar"
"1201","Castelar",2,"Rafaela","Comuna","12","San Martín","San Martín y Belgrano ",2401,"342","4901001",,"comunadecastelar@yahoo.com.ar",
"0822","Castellanos (Colonia)",2,"Rafaela","Comuna","08","Castellanos","25 de Mayo 86 ",2310,"342","4972083",,"comunacastellanos@mmcdigital.com.ar",
"0917","Cavour (Colonia)",3,"Santa Fe","Comuna","09","Las Colonias","9 de Julio S/N ",3081,"3468","481221",,"comunadecavour@yahoo.com.ar",
"0502","Cayastá",3,"Santa Fe","Comuna","05","Garay","Juan de Garay esq. Conde de Tessieres ","S3001AJA","3462","494022",,"comuna@cayasta.gov.ar",
"0617","Cayastacito",3,"Santa Fe","Comuna","06","San Justo","9 de Julio 533 ","S3038ACA","3497","486001",486044,"comunacayastacito@chsistemas.com.ar",
"1122","Centeno",4,"Rosario","Comuna","11","San Jerónimo","Bv. Fernando Centeno 1108 ",2148,"3401","498210",,"comunadecenteno@redcrs.com.ar",
"1908","Cepeda",4,"Rosario","Comuna","19","Constitución","Cándido Colaso 193 ","S2118ABA","3460","491855",,"comuna_cepeda@hotmail.com",
"0701","Ceres",2,"Rafaela","Municipalidad","07","San Cristóbal","Av. Italia y H. Irigoyen ",2340,"3491","420220",420225,,"www.municipalidadceres.com.ar"
"1808","Chabás",4,"Rosario","Comuna","18","Caseros","Rosario 1705 ",2173,"3464","480240",,"presidenciachabas@gmail.com",
"1812","Chañar Ladeado",5,"Venado Tuerto","Comuna","18","Caseros","José Foresto 499 ",2643,"3468","481221",481256,"chladeado@futurnet.com.ar",
"1712","Chapuy",5,"Venado Tuerto","Comuna","17","General López","Av. La Plata 239 ",2603,"3462","494022",494032,"comunachapuy@enredes.com.ar",
"1704","Chovet",5,"Venado Tuerto","Comuna","17","General López","Sarmiento 589 ",2633,"3465","493105",493332,"comunachovet@hotmail.com",
"1725","Christophersen (Colonia)",5,"Venado Tuerto","Comuna","17","General López","Sarmiento S/N ",2611,"3462","485019",485097,"comunachristophersen@sangregorio.com.ar",
"1401","Clason",4,"Rosario","Comuna","14","Iriondo","Santa Fe 697 ",2146,"3471","499099",499910,"presidencia@comunadeclason.gob.ar",
"0835","Clucellas (Plaza)",2,"Rafaela","Comuna","08","Castellanos","Pbtro. Antonio Bonini 101 ",2407,"3492","499013",499132,"comunaclucellas@hotmail.com",
"0713","Colonia Ana",2,"Rafaela","Comuna","07","San Cristóbal","Zona Rural ","S2345XAB","3562","466713",465580,"comcolana@sanguillermo.com.ar",
"1205","Colonia Belgrano",4,"Rosario","Comuna","12","San Martín","San Martín 802 ","S2257ALH","3404","496328",,"comunacoloniabelgranol@yahoo.com.ar",
"0729","Colonia Bossi",2,"Rafaela","Comuna","07","San Cristóbal","Irico Pussetto 145 ",2326,"3409","420480",,"comunacolbossi@cooptacural.com.ar",
"0834","Colonia Cello",2,"Rafaela","Comuna","08","Castellanos","Av. Las Casuarinas 761 ","S2405XAA","3466","496118",,"comunacolcello@hotmail.com.ar",
"0618","Colonia Dolores",3,"Santa Fe","Comuna","06","San Justo","Zona Rural ","S3045XAE","3462","485019",,"comunacoloniadolores@lenet.com.ar",
"0728","Colonia Dos Rosas y La Legua",2,"Rafaela","Comuna","07","San Cristóbal","San Martín 14 ",2349,"3562","478229",476229,"comunadosrosasylalegua@yahoo.com.ar",
"0402","Colonia Durán",1,"Reconquista","Comuna","04","San Javier","Zona urbana S/N","S3553XAB","3482","456721",,"comunaduran@gmail.com",
"0836","Colonia Iturraspe",2,"Rafaela","Comuna","08","Castellanos","Zona Rural ",2407,"3496","491028",,"coloniaiturraspe@mmcdigital.com.ar",
"0505","Colonia Mascías",3,"Santa Fe","Comuna","05","Garay","Zona urbana S/N",3001,"3462","470002",,"coloniamascias@myc-santafe.gov.ar",
"0804","Colonia Raquel",2,"Rafaela","Comuna","08","Castellanos","Sylvestre Begnis 85 ","S2322XAB","342","4930124",,"comunaraquel@hotmail.com",
"0715","Colonia Rosa",2,"Rafaela","Comuna","07","San Cristóbal","Juan Giordano 338 ","S2351AGA","3562","465006",465051,"comcolrosa@sanguillermo.com.ar",
"0608","Colonia Silva",3,"Santa Fe","Comuna","06","San Justo","30 de Junio S/N ","S3042XAC","2473","491001",,"comunadesilva@lenet.com.ar",
"0408","Colonia Teresa",3,"Santa Fe","Comuna","04","San Javier","Ruta Provincial Nº 1 - Zona Urbana ",3005,"3465","495257",,"comunacoloniateresa@hotmail.com",
"0723","Constanza",2,"Rafaela","Comuna","07","San Cristóbal","Zona urbana S/N",2311,"3498","472000",,"comunaconstanza@secchiservicios.com.ar",
"1105","Coronda",3,"Santa Fe","Municipalidad","11","San Jerónimo","Sarmiento 1818 ","S2240CGP","342","4910315",4910770,"municipalidad@coronda.gov.ar","www.coronda.gov.ar"
"1513","Coronel Arnold",4,"Rosario","Comuna","15","San Lorenzo","9 de Julio 632 ","S2131ACB","341","4902228",,"info@coronelarnold.gob.ar",
"1620","Coronel Bogado",4,"Rosario","Comuna","16","Rosario","Belgrano 689 ","S2103ACM","3402","491584",491210,"combog@coopvgg.com.ar",
"1615","Coronel Domínguez",4,"Rosario","Comuna","16","Rosario","Santa Clara 215 ","S2114APE","3402","493016",493076,"coroneldominguez@myc-santafe.gov.ar",
"0820","Coronel Fraga",2,"Rafaela","Comuna","08","Castellanos","Av. San Martín 349 ","S2301XAB","3498","495359",,"cnelfraga@arnet.com.ar",
"1411","Correa",4,"Rosario","Comuna","14","Iriondo","Rivadavia 1218 ",2506,"3471","492001",492333,"comunadecorrea@gmail.com",
"1202","Crispi",2,"Rafaela","Comuna","12","San Martín","Piamonte 492 ",2441,"3497","420029",,"comunacrispi@gmail.com",
"0915","Cululú",3,"Santa Fe","Comuna","09","Las Colonias","Calle Pública S/N ","S3023XAE","3382","492035",,"comunacululu@arnet.com.ar",
"0717","Curupaity",2,"Rafaela","Comuna","07","San Cristóbal","San Martín S/N ",2342,"342","4904052",,"comunacurupaity@gmail.com",
"1104","Desvío Arijón",3,"Santa Fe","Comuna","11","San Jerónimo","Av. José Arijón y Belgrano ",2242,"342","4900163",4900180,"comunadesvioarijon@hotmail.com",
"1119","Díaz",3,"Santa Fe","Comuna","11","San Jerónimo","Av. Santa Fe 650 ","S2222AET","3466","496118",496130,"comunadiaz@coopdiaz.com.ar",
"1730","Diego de Alvear",5,"Venado Tuerto","Comuna","17","General López","Italia 301 ",6036,"3382","493004",,"comunada@dalvear.com.ar",
"0815","Egusquiza",2,"Rafaela","Comuna","08","Castellanos","Av. San Martín S/N ","S2319AEA","3492","484512",484560,"comunaegusquiza@interclass.com.ar",
"0321","El Arazá",1,"Reconquista","Comuna","03","General Obligado","Presb. Antonio Pregolesi 960 ","S3563XAB","3482","490158",,"comunaelaraza@csdnet.com.ar",
"0303","El Rabón",1,"Reconquista","Comuna","03","General Obligado","Zona urbana S/N","S3592XAB","3482","492845",,"comunaelrabon@hotmail.com",
"0313","El Sombrerito",1,"Reconquista","Comuna","03","General Obligado","Zona urbana S/N","S3585XAE","3482","466168",493993,"comunaelsombrerito@yahoo.com.ar",
"1215","El Trébol",4,"Rosario","Municipalidad","12","San Martín","Bv. América 1091 ",2535,"3401","422181",422271,"muntrebol@eltrebol.gov.ar","www.eltrebol.gov.ar"
"0901","Elisa",3,"Santa Fe","Comuna","09","Las Colonias","Bv. San Francisco 401 ",3029,"3498","499098",499043,"comunaelisa@hotmail.com.ar",
"1710","Elortondo",5,"Venado Tuerto","Comuna","17","General López","25 de Mayo 777 ","S2732AAM","3462","470002",470130,"comunaelortondo@comunadeelortondo.arnetbiz.com.ar",
"1001","Emilia",3,"Santa Fe","Comuna","10","La Capital","Brigadier Estanislao López 314 ","S3092ABA","3462","441246",,"comunaemilia@sanjustosf.com.ar",
"0927","Empalme San Carlos",3,"Santa Fe","Comuna","09","Las Colonias","Calle Pública S/N ","S3007XAB","3462","482010",,"comunaempalmesancarlos@hotmail.com",
"1916","Empalme Villa Constitución",4,"Rosario","Comuna","19","Constitución","Hipólito Yrigoyen 112/114 ",2918,"3400","493160",493260,"comunaevc@cablenet.com.ar",
"0842","Esmeralda",2,"Rafaela","Comuna","08","Castellanos","Av. Centenario 399 ",2456,"3497","488193",,"comunadeesmeralda@mmcdigital.com.ar",
"0916","Esperanza",3,"Santa Fe","Municipalidad","09","Las Colonias","Aaron Castellanos 1543 ","S3080ASY","3496","420009",420017,"muniespe@esperanza.gov.ar","Sitio Web:www.municipalidad.esperanza.gov.ar"
"0838","Estación Clucellas",2,"Rafaela","Comuna","08","Castellanos","Paraná 1205 ",2408,"3492","495169",495002,"estacionclucellas@mmcdigital.com.ar",
"0107","Esteban Rams",2,"Rafaela","Comuna","01","Nueve de Julio","Lisandro de la Torre S/N ",3066,"342","4907017",,"comuna_estebanrams@hotmail.com",
"0616","Esther (Colonia)",3,"Santa Fe","Comuna","06","San Justo","Zona urbana S/N","S3036XAE","3382","470040",,"comunacoloniaesther@hotmail.com",
"0808","Eusebia",2,"Rafaela","Comuna","08","Castellanos","San Martín y Estanislao López ",2317,"3493","493269",493218,"comunadeeusebia@interclass.com.ar",
"0839","Eustolia",2,"Rafaela","Comuna","08","Castellanos","Zona urbana S/N","S2407XAE","3404","420189",,"comunaeustolia@sme.com.ar",
"0912","Felicia",3,"Santa Fe","Comuna","09","Las Colonias","Dr. Belotti 247 ","S3087AFE","3496","491028",491048,"comunadefelicia@gmail.com",
"0817","Fidela (Colonia)",2,"Rafaela","Comuna","08","Castellanos","Zona Rural Fidela ","S2301XAC","3404","495017",,"fidela@coopra.com.ar",
"1619","Fighiera",4,"Rosario","Comuna","16","Rosario","Andrade 625 ","S2126AFG","3402","471182",,"secretariacomuna@gmail.com.ar",
"1706","Firmat",5,"Venado Tuerto","Municipalidad","17","General López","Paseo Ntra. Sra. de la Merced 1096 ",2630,"3465","420696",,"municipalidad@firmat.gov.ar","www.firmat.gov.ar"
"0302","Florencia",1,"Reconquista","Comuna","03","General Obligado","San Martín 615 ",3516,"3482","491346",491105,"comunadeflorencia@ltnet.com.ar",
"0207","Fortín Olmos",1,"Reconquista","Comuna","02","Vera","Av. Perón e Hipólito Irigoyen ",3553,"3483","492190",492132,"comunadefortinolmos@gmail.com",
"0926","Franck",3,"Santa Fe","Comuna","09","Las Colonias","San Martín 1986 ","S3009BDR","342","4930124",4930408,"comuna@franck.gob.ar",
"1504","Fray Luis Beltrán",4,"Rosario","Municipalidad","15","San Lorenzo","Presidente Perón 001 ","S2156DEA","341","4916012",4916305,"prensa@frayluisbeltran.gov.ar","www.frayluisbeltran.gov.ar"
"0841","Frontera",2,"Rafaela","Municipalidad","08","Castellanos","Calle 1 Nº 1015 ","S2438AEU","3564","434949",423333,"privada-mfrontera@arnet.com.ar",
"1514","Fuentes",4,"Rosario","Comuna","15","San Lorenzo","25 de Mayo 461 ","S2123AAI","3464","493410",493510,"comfuen@dat1.net.ar",
"1604","Funes",4,"Rosario","Municipalidad","16","Rosario","Av. Santa Fe 1689 ","S2132AUC","341","4931234",4936000,"funes@myc-santafe.gov.ar","www.funes.gov.ar"
"1117","Gaboto",3,"Santa Fe","Comuna","11","San Jerónimo","Bustinza y Gómez ",2208,"3476","488020",488319,"comunadegaboto_04@yahoo.com",
"0813","Galisteo",2,"Rafaela","Comuna","08","Castellanos","Zona urbana S/N","S2307XAB","3404","460251",,"comunagalisteo@yahoo.com.ar",
"1108","Gálvez",3,"Santa Fe","Municipalidad","11","San Jerónimo","Presidente Perón 750 ","S2252HID","3404","481127",481130,"municip@galvez.gov.ar","www.galvez.gov.ar"
"0211","Garabato",1,"Reconquista","Comuna","02","Vera","San Martín S/N entre J. D. Perón y 25 de Mayo ","S3551XAS","3482","490303",,"comunadegarabato@hotmail.com",
"0843","Garibaldi",2,"Rafaela","Comuna","08","Castellanos","San Martín 399 ","S2443XAB","3404","452015",,"comunagaribaldi@coopmj.com.ar",
"0102","Gato Colorado",2,"Rafaela","Comuna","01","Nueve de Julio","Ernesto Gronda S/N ",3541,"3498","471023",,"comunagc@gmail.com",
"1912","General Gelly",4,"Rosario","Comuna","19","Constitución","Francisco Elizalde 529 ",2701,"2477","490099",,"comunagelly@coopgelly.com.ar",
"1617","General Lagos",4,"Rosario","Comuna","16","Rosario","San Martín 261 ","S2127BFE","3402","490022",,"mesa-entrada@cglagos.gob.ar",
"1102","Gessler",3,"Santa Fe","Comuna","11","San Jerónimo","Presb. Domingo Nardi 1124 ",2253,"3462","450201",,"comunagessler@arcanetsa.com.ar",
"0607","Gobernador Crespo",3,"Santa Fe","Comuna","06","San Justo","Av. San Martín 198 ","S3044AEO","3498","480264",,"comunagobernadorcrespo@yahoo.com.ar",
"1813","Gödekén",5,"Venado Tuerto","Comuna","18","Caseros","Calle 13 Nº 550 ","S2640AIL","3465","498127",,"cgodeken@futurnet.com.ar",
"1914","Godoy",4,"Rosario","Comuna","19","Constitución","Mitre 751 ","S2921AKG","3460","497020",,"comunadegodoy@lanttel.com.ar",
"0209","Golondrina",1,"Reconquista","Comuna","02","Vera","Zona urbana S/N","S3551XAJ","3482","496200",,"golondrinastafe@hotmail.com",
"1602","Granadero Baigorria",4,"Rosario","Municipalidad","16","Rosario","Chacabuco 1050 ","S2152FLD","341","4712806",,"secintendencia@mungb.gov.ar","www.baigorria.gov.ar"
"0101","Gregoria Pérez de Denis",2,"Rafaela","Comuna","01","Nueve de Julio","Av. General Pueyrredón S/N ",3061,"3491","484032",484176,"comunagpdedenis@hotmail.com",
"0913","Grutly",3,"Santa Fe","Comuna","09","Las Colonias","E. Vollenweider S/N ","S3083AAA","3496","492506",,"cgrutly@mevran.com.ar",
"0327","Guadalupe Norte",1,"Reconquista","Comuna","03","General Obligado","Calle 9 S/N ","S3574XAB","3482","494292",,"comunagn@trcnet.com.ar",
"0501","Helvecia",3,"Santa Fe","Comuna","05","Garay","Dr. Romang 192 ",3003,"3405","470160",,"comunahelvecia@garaynet.com.ar",
"0702","Hersilia",2,"Rafaela","Comuna","07","San Cristóbal","Roque Saénz Peña 447 ",2352,"3491","494108",494500,"comunahersilia@gmail.com",
"0910","Hipatia",3,"Santa Fe","Comuna","09","Las Colonias","Sarmiento S/N ",3023,"3497","488216",,"comunadehipatia@hotmail.com",
"0704","Huanqueros",2,"Rafaela","Comuna","07","San Cristóbal","Santa Fe S / N ",3076,"342","4950409",,"comunadehuanqueros@inthersil.com.ar",
"0809","Hugentobler (Colonia)",2,"Rafaela","Comuna","08","Castellanos","9 de Julio S/N ","S2317XAE","342","4910315",,"colhugentobler@coopaldao.com.ar",
"1720","Hughes",5,"Venado Tuerto","Comuna","17","General López","Ministro Félix Pagani 243 ",2725,"2473","491001",491216,"presidencia@comunadehughes.gob.ar",
"0803","Humberto Primo",2,"Rafaela","Comuna","08","Castellanos","Córdoba 136 ",2309,"3496","420009",,"presidenciahumberto@secchiservicios.com.ar",
"0918","Humboldt",3,"Santa Fe","Comuna","09","Las Colonias","Av. San Martín 1604 ","S3081ARN","3496","480089",,"comunadehumboldt@arnet.com.ar",
"1601","Ibarlucea",4,"Rosario","Comuna","16","Rosario","San Martín 1001 ","S2143ATL","341","4904028",4904687,"comunadeibarlucea@gmail.com",
"0312","Ingeniero Chanourdie",1,"Reconquista","Comuna","03","General Obligado","Zona urbana S/N","S3575XAB","3482","475049",,"ichanourdie@vocampo.com.ar",
"0210","Intiyaco",1,"Reconquista","Comuna","02","Vera","9 de Julio S/N ",3551,"3482","490303",490369,"comunaintiyaco@yahoo.com.ar",
"1112","Irigoyen (Pueblo)",3,"Santa Fe","Comuna","11","San Jerónimo","Belgrano 550 ","S2249AFS","3466","491011",,"comunairigoyen@cablenet.com.ar",
"0904","Ituzaingó",3,"Santa Fe","Comuna","09","Las Colonias","Zona Rural ","S2311XAE","3497","495712",,"comunacolituzaingo@secchiservicios.com",
"0902","Jacinto L. Aráuz",3,"Santa Fe","Comuna","09","Las Colonias","Zona Rural ","S3029XAB","3497","495713",,"comunadearauz@netbai.com.ar",
"0833","Josefina",2,"Rafaela","Comuna","08","Castellanos","25 de Mayo 602 ",2403,"3492","469075",469067,"comunadejosefina@arnet.com.ar",
"1913","Juan B. Molina",4,"Rosario","Comuna","19","Constitución","Ameghino 340 ",2104,"3460","498510",,"comunajbmolina@coopjbmolina.com.ar",
"1903","Juncal",4,"Rosario","Comuna","19","Constitución","Belgrano 226 ",2723,"2473","492279",492392,"comunadejuncal@icpaz.com",
"0406","La Brava",3,"Santa Fe","Comuna","04","San Javier","Malvinas Argentinas S/N ","S3045XAC","3405","494012",,"comunalabrava@hotmail.com",
"0732","La Cabral",2,"Rafaela","Comuna","07","San Cristóbal","Zona urbana S/N",3074,"342","4940198",,"comunacabral@gmail.com",
"0602","La Camila",3,"Santa Fe","Comuna","06","San Justo","Zona Rural ","S3054XAB","3498","472000",472013,"prescomunalacamila@coopvelac.com.ar",
"1702","La Chispa",5,"Venado Tuerto","Comuna","17","General López","Santa Fe 88 ",2601,"3462","487061",,"comunadelachispa@arnet.com.ar",
"0721","La Clara (Colonia)",2,"Rafaela","Comuna","07","San Cristóbal","Zona Rural ","S3025XAB","3404","420677",,"comunalaclara@netbai.com.ar",
"0605","La Criolla",3,"Santa Fe","Comuna","06","San Justo","Av. Estanislao López 399 ",3052,"3498","495359",495214,"comunalacriolla@hotmail.com",
